post_id,author_public_id,linkedin_url,likes,comments,shares,total_engagement,comment_ratio,share_ratio,word_count,char_count,hashtag_count,emoji_count,has_media,is_job_post,hour_of_day,day_of_week,engagement_percentile,engagement_zscore,engagement_rate,follower_count,author_location_text,author_timezone,audience_adjusted_percentile,audience_adjusted_zscore,hook_type,tone,topic,has_explicit_cta,writing_style,engagement_anomaly_flag,anomaly_reasons
7479036813152636929,xiaoyinqu,https://www.linkedin.com/posts/xiaoyinqu_startups-i-know-have-ditched-managed-claude-activity-7479036813152636929-Z02S,14,3,0,17,0.214,0.0,126,769,0,0,False,False,5,Saturday,84.83,1.0679,0.0005,33848,,,17.8,-1.0099,,,,,,False,[]
7479089993131458560,ninogorgadze-pmp,https://www.linkedin.com/posts/ninogorgadze-pmp_claudecode-aiagents-aiworkflow-activity-7479089993131458560-GRqP,16,2,0,18,0.125,0.0,105,818,8,11,False,False,8,Saturday,85.5,1.1092,0.0023,7953,,,41.53,-0.2262,,,,,,False,[]
7478874955380695040,gonzafernandez,https://www.linkedin.com/posts/gonzafernandez_claude-ai-productivity-activity-7478874955380695040-hjVu,2,0,0,2,0.0,0.0,65,487,4,0,False,False,18,Friday,44.83,-0.2996,0.0021,942,,,48.31,-0.0767,,,,,,False,[]
7478899941030068224,krishnanand-kamath,https://www.linkedin.com/posts/krishnanand-kamath_the-ai-didnt-make-me-fast-it-made-this-activity-7478899941030068224-Em5s,1,1,0,2,1.0,0.0,71,434,0,0,False,False,19,Friday,44.83,-0.2996,0.0015,1346,,,39.83,-0.2627,,,,,,False,[]
7479106692027269120,aarushijaveri,https://www.linkedin.com/posts/activity-7479106692027269120-dgMr,5,0,0,5,0.0,0.0,69,357,0,1,False,False,9,Saturday,62.17,0.2294,0.0011,4592,,,29.66,-0.541,,,,,,False,[]
7478877214235648000,chettim-chetty-hemasri-4322a526b,https://www.linkedin.com/posts/chettim-chetty-hemasri-4322a526b_aibeforeeveryoneelse-artificialintelligence-activity-7478877214235648000-9M7N,35,3,0,38,0.086,0.0,143,1050,15,5,False,False,18,Friday,93.0,1.658,0.0063,6032,,,60.17,0.2932,,,,,,False,[]
7478714582195290112,enejda-subashi,https://www.linkedin.com/posts/enejda-subashi_faster-hypotheses-vs-real-biology-my-take-activity-7478714582195290112-EYKV,2,0,0,2,0.0,0.0,12,98,0,0,False,False,7,Friday,44.83,-0.2996,0.0073,273,,,73.73,0.568,,,,,,False,[]
7478789900226629632,,https://www.linkedin.com/posts/genai-works_how-can-one-person-run-a-whole-business-on-activity-7478789900226629632-mR4Y,227,119,5,351,0.524,0.022,107,649,0,0,False,False,12,Friday,99.5,3.3372,,,,,,,,,,,,False,[]
7478854331686092800,newbraski-a-091090a4,https://www.linkedin.com/posts/newbraski-a-091090a4_alibaba-is-reportedly-blocking-anthropic-activity-7478854331686092800-mFL3,0,0,0,0,,,63,420,0,0,False,False,16,Friday,12.33,-1.1381,0.0,166,,,58.47,0.2532,,,,,,False,[]
7478852543738097665,,https://www.linkedin.com/posts/claude-for-business_reflecting-on-a-year-of-claude-code-activity-7478852543738097665-kfvD,574,25,27,626,0.044,0.047,40,257,0,0,False,False,16,Friday,99.83,3.7778,,,,,,,,,,,,False,[]
7478896031930388480,angela-carlson-7b8986226,https://www.linkedin.com/posts/angela-carlson-7b8986226_fully-automated-dry-needling-ai-marketing-activity-7478896031930388480-2lvi,0,0,0,0,,,12,83,0,0,False,False,19,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478073234542899202,johnhargrave,https://www.linkedin.com/posts/johnhargrave_ai-aiagents-marketingai-activity-7478073234542899202-Ayh4,7,1,0,8,0.143,0.0,63,507,10,0,False,False,13,Wednesday,72.17,0.5389,,,,,,,,,,,,False,[]
7477987822621200384,islamgouda,https://www.linkedin.com/posts/islamgouda_marketing-artificialintelligence-cmo-activity-7477987822621200384-4Ijd,12,6,2,20,0.5,0.167,308,2135,10,2,False,False,7,Wednesday,87.33,1.1855,,,,,,,,,,,,False,[]
7477696213505712128,nataliegullatt,https://www.linkedin.com/posts/nataliegullatt_revenueevolved-customermarketing-customeradvocacy-activity-7477696213505712128-1BN4,11,3,0,14,0.273,0.0,152,1095,12,0,False,False,12,Tuesday,82.33,0.9287,,,,,,,,,,,,False,[]
7478834847759642624,chelceecheers,https://www.linkedin.com/posts/chelceecheers_artificialintelligence-brandmanagement-marketingcommunications-activity-7478834847759642624-J14T,9,1,0,10,0.111,0.0,177,1317,9,0,False,False,15,Friday,77.5,0.692,,,,,,,,,,,,False,[]
7478412995270832129,ozjenk,https://www.linkedin.com/posts/ozjenk_aimarketing-futureofmarketing-marketingtrends-activity-7478412995270832129-Nz02,5,0,0,5,0.0,0.0,177,1249,6,1,False,False,11,Thursday,62.17,0.2294,,,,,,,,,,,,False,[]
7478111150270820352,aldin-bilalovic-9b2400235,https://www.linkedin.com/posts/aldin-bilalovic-9b2400235_aimarketing-artificialintelligence-businessgrowth-activity-7478111150270820352-c2k3,4,4,0,8,1.0,0.0,51,387,10,0,False,False,15,Wednesday,72.17,0.5389,,,,,,,,,,,,False,[]
7477691221998612481,alyssaseoeunlee,https://www.linkedin.com/posts/alyssaseoeunlee_creativestrategy-marketingstrategy-brandstrategy-activity-7477691221998612481-Uze5,2,2,0,4,1.0,0.0,171,1081,6,0,False,False,11,Tuesday,58.0,0.0903,,,,,,,,,,,,False,[]
7478382161646006272,heatherreneehorton,https://www.linkedin.com/posts/heatherreneehorton_ai-marketingstrategy-brandbuilding-activity-7478382161646006272-J4bB,11,1,0,12,0.091,0.0,61,441,7,0,False,False,9,Thursday,80.33,0.8195,,,,,,,,,,,,False,[]
7477662308823937024,webdesignexcellence,https://www.linkedin.com/posts/webdesignexcellence_ai-marketingautomation-digitaltransformation-activity-7477662308823937024-rH33,3,3,0,6,1.0,0.0,53,453,5,0,False,False,10,Tuesday,66.5,0.3471,0.0001,55523,,,4.24,-1.7608,,,,,,False,[]
7478856914249076736,b2b-leadgeneration,https://www.linkedin.com/posts/b2b-leadgeneration_marketing-in-the-age-of-ai-podcast-with-emanuel-activity-7478856914249076736-gagi,2,0,0,2,0.0,0.0,20,106,0,0,False,False,17,Friday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478886398419156992,loandang-mei,https://www.linkedin.com/posts/activity-7478886398419156992-OHig,1,1,0,2,1.0,0.0,119,826,1,1,False,False,19,Friday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478494451691134976,,https://www.linkedin.com/posts/the-dsm-group_aiinmarketing-marketingstrategy-digitalmarketing-activity-7478494451691134976-Yg-r,8,2,0,10,0.25,0.0,67,454,5,0,False,False,17,Thursday,77.5,0.692,,,,,,,,,,,,False,[]
7478745729377951744,,https://www.linkedin.com/posts/hooksmith-ads_aicontentcreation-socialmediamarketing-videomarketing-activity-7478745729377951744-EKum,0,0,0,0,,,22,183,5,4,False,False,9,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478714713216888832,ahmed-osama28,https://www.linkedin.com/posts/ahmed-osama28_marketing-digitalmarketing-ai-activity-7478714713216888832-ir5K,0,0,0,0,,,156,1052,9,0,False,False,7,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478120229982695424,jamiewilkie1,https://www.linkedin.com/posts/jamiewilkie1_from-campaigns-to-continuous-growth-ai-capabilities-activity-7478120229982695424-irju,15,1,1,17,0.067,0.067,79,601,5,0,False,False,16,Wednesday,84.83,1.0679,,,,,,,,,,,,False,[]
7478794997635530752,,https://www.linkedin.com/posts/bootcampdigital_ai-artificialintelligence-contentmarketing-activity-7478794997635530752-Wciu,0,0,0,0,,,92,663,10,0,False,False,13,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7477617568615337985,,https://www.linkedin.com/posts/myprofessionaldevelopment_digitalmarketing-ai-seo-activity-7477617568615337985-sZ6k,5,0,0,5,0.0,0.0,207,1368,11,10,False,False,7,Tuesday,62.17,0.2294,,,,,,,,,,,,False,[]
7478051055570751488,danielvmorris,https://www.linkedin.com/posts/danielvmorris_messaging-productmarketing-marketingstrategy-activity-7478051055570751488-nhSW,2,2,0,4,1.0,0.0,101,694,4,0,False,False,11,Wednesday,58.0,0.0903,,,,,,,,,,,,False,[]
7477934050855444481,,https://www.linkedin.com/posts/dr-sourabhs-marketing-lab_digitalmarketing-aimarketing-b2bmarketing-activity-7477934050855444481-FSnc,1,0,0,1,0.0,0.0,105,621,6,0,False,False,4,Wednesday,32.0,-0.6091,,,,,,,,,,,,False,[]
7477582278752292865,jcsum,https://www.linkedin.com/posts/jcsum_the-ai-shift-in-marketing-and-branding-activity-7477582278752292865-uFPu,1,0,0,1,0.0,0.0,74,543,3,0,False,False,4,Tuesday,32.0,-0.6091,,,,,,,,,,,,False,[]
7477636890259808257,declan-doyle,https://www.linkedin.com/posts/declan-doyle_ai-is-rewriting-what-marketing-actually-is-activity-7477636890259808257-jfSA,2,0,0,2,0.0,0.0,17,82,0,0,False,False,8,Tuesday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478722972250304512,sylvialohr,https://www.linkedin.com/posts/sylvialohr_ai-oraylis-frontiermarketing-activity-7478722972250304512-GCOw,9,3,0,12,0.333,0.0,60,359,3,1,False,False,8,Friday,80.33,0.8195,,,,,,,,,,,,False,[]
7477839462056562688,ladenegan-collinstech,https://www.linkedin.com/posts/ladenegan-collinstech_ai-aivideo-eventmarketing-activity-7477839462056562688-9KXI,5,0,0,5,0.0,0.0,169,1353,15,6,False,False,21,Tuesday,62.17,0.2294,,,,,,,,,,,,False,[]
7477643347503902721,,https://www.linkedin.com/posts/nexusflo24_ai-will-not-replace-marketers-but-marketers-activity-7477643347503902721-d-9-,1,1,0,2,1.0,0.0,27,168,0,0,False,False,8,Tuesday,44.83,-0.2996,,,,,,,,,,,,False,[]
7477681344211468288,kevindberman,https://www.linkedin.com/posts/kevindberman_ai-is-changing-customer-behavior-so-fundamentally-activity-7477681344211468288-GiJE,13,2,0,15,0.154,0.0,54,332,0,0,False,False,11,Tuesday,83.67,0.978,,,,,,,,,,,,False,[]
7477797394974318592,laura-beaudin-thackeray-4904271,https://www.linkedin.com/posts/laura-beaudin-thackeray-4904271_as-ai-becomes-part-of-everyday-marketing-activity-7477797394974318592-08E-,9,1,1,11,0.111,0.111,49,295,0,0,False,False,18,Tuesday,79.0,0.7584,,,,,,,,,,,,False,[]
7478825169763958784,nickstamoulis,https://www.linkedin.com/posts/nickstamoulis_ai-seo-punishes-lazy-marketing-strategies-activity-7478825169763958784-gD-Q,0,0,0,0,,,19,195,3,0,False,False,15,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478945494455459841,milena-castillo5,https://www.linkedin.com/posts/activity-7478945494455459841--hGC,0,0,0,0,,,174,999,0,1,False,False,22,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7479116793710686208,markrosario88,https://www.linkedin.com/posts/markrosario88_aimarketing-localbusinessgrowth-digitalstrategy-activity-7479116793710686208-HRHJ,2,0,0,2,0.0,0.0,37,256,3,1,True,False,10,Saturday,44.83,-0.2996,,,,,,,,,,,,False,[]
7479127738423996416,,https://www.linkedin.com/posts/brewideaa-llp_artificialintelligence-socialmediamarketing-activity-7479127738423996416-Eotd,1,0,0,1,0.0,0.0,171,1258,9,0,False,False,11,Saturday,32.0,-0.6091,,,,,,,,,,,,False,[]
7478451464600797184,deshawnmcleod,https://www.linkedin.com/posts/deshawnmcleod_day-12-on-ais-disruption-in-marketing-activity-7478451464600797184-ZGPP,1,0,0,1,0.0,0.0,31,198,0,0,False,False,14,Thursday,32.0,-0.6091,0.0588,17,,,96.61,1.7769,,,,,,False,[]
7478165978644770816,,https://www.linkedin.com/posts/the-creative-benefit_b2bmarketing-marketingstrategy-marketingwithai-activity-7478165978644770816-RHPq,2,0,0,2,0.0,0.0,34,232,5,0,False,False,19,Wednesday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478448078706966528,,https://www.linkedin.com/posts/pettisai_contentstrategy-smbmarketing-aimarketing-activity-7478448078706966528-fkaa,0,0,0,0,,,86,575,3,0,False,False,14,Thursday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478851924746932224,,https://www.linkedin.com/posts/linkedin%2Ecom-company-agent-suite_most-businesses-dont-have-a-marketing-problem-activity-7478851924746932224-cJAQ,1,0,0,1,0.0,0.0,167,1032,0,0,False,False,16,Friday,32.0,-0.6091,,,,,,,,,,,,False,[]
7478729673011675136,robingdaniels,https://www.linkedin.com/posts/robingdaniels_in-the-next-year-or-two-were-going-to-see-activity-7478729673011675136-aN63,14,8,0,22,0.571,0.0,116,635,0,1,True,False,8,Friday,88.83,1.255,,,,,,,,,,,,False,[]
7477994626780565504,,https://www.linkedin.com/posts/ministry-of-marketing_ai-is-changing-marketing-hi-keeps-it-human-activity-7477994626780565504-pth6,5,3,0,8,0.6,0.0,45,315,0,4,False,False,8,Wednesday,72.17,0.5389,,,,,,,,,,,,False,[]
7478982936797802496,joncheney,https://www.linkedin.com/posts/joncheney_everyone-is-chasing-backlinks-almost-no-activity-7478982936797802496-OIHf,7,0,1,8,0.0,0.143,14,71,0,0,False,False,1,Saturday,72.17,0.5389,,,,,,,,,,,,False,[]
7479109270567870464,cruzudavid,https://www.linkedin.com/posts/cruzudavid_from-anxiety-to-advantage-a-marketing-organization-activity-7479109270567870464-l7Tz,0,0,0,0,,,12,97,0,0,False,False,9,Saturday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478885296026083328,,https://www.linkedin.com/posts/avalon-digital-partners_artificialintelligence-aistrategy-enterpriseai-activity-7478885296026083328-OX-d,0,0,0,0,,,180,1386,9,0,False,False,19,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478475914373332994,cyberkramer,https://www.linkedin.com/posts/cyberkramer_ive-been-experimenting-with-ai-generated-activity-7478475914373332994-gWD4,9,0,0,9,0.0,0.0,57,348,0,0,False,False,15,Thursday,75.17,0.6193,,,,,,,,,,,,False,[]
7478846453143085056,anoshv,https://www.linkedin.com/posts/activity-7478846453143085056-4XfD,0,0,0,0,,,99,544,4,5,False,False,16,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478462559545667584,catherine-mak-fcmo-zilu,https://www.linkedin.com/posts/catherine-mak-fcmo-zilu_ceos-founders-ai-activity-7478462559545667584-Th0_,12,7,2,21,0.583,0.167,268,1605,3,12,False,False,15,Thursday,88.17,1.2211,,,,,,,,,,,,False,[]
7478162454716489728,jordan-drew-3523431b1,https://www.linkedin.com/posts/jordan-drew-3523431b1_in-a-world-full-of-ai-the-way-to-stand-out-activity-7478162454716489728-K52q,3,0,0,3,0.0,0.0,127,745,0,0,False,False,19,Wednesday,53.5,-0.08,,,,,,,,,,,,False,[]
7478220898874048512,,https://www.linkedin.com/posts/boston-consulting-group_bcgincannes-activity-7478220898874048512-rsny,113,10,4,127,0.088,0.035,85,601,1,0,False,False,23,Wednesday,98.5,2.5651,,,,,,,,,,,,False,[]
7478466283366301697,claudia-massar,https://www.linkedin.com/posts/claudia-massar_alloyedge-aimarketing-digitalmarketing-activity-7478466283366301697-YYO5,0,0,0,0,,,44,285,0,0,False,False,15,Thursday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478383087949705216,choy-travers,https://www.linkedin.com/posts/choy-travers_the-best-thing-about-advertising-in-ai-activity-7478383087949705216-T0SE,55,10,2,67,0.182,0.036,71,433,0,0,False,False,9,Thursday,95.83,2.0823,,,,,,,,,,,,False,[]
7477414043188903936,,https://www.linkedin.com/posts/theitcrowdmarketing_aimarketing-marketingstrategy-businessgrowth-activity-7477414043188903936-Q2tp,7,0,0,7,0.0,0.0,58,408,4,0,True,False,17,Monday,69.33,0.449,,,,,,,,,,,,False,[]
7478807783555915776,alicesneary,https://www.linkedin.com/posts/alicesneary_hiring-activity-7478807783555915776-YC5J,5,2,2,9,0.4,0.4,54,347,1,0,False,True,13,Friday,75.17,0.6193,,,,,,,,,,,,False,[]
7478809800064118784,jsugitapappas,https://www.linkedin.com/posts/jsugitapappas_ai-aimarketingtransformation-aigovernance-activity-7478809800064118784-JvH3,2,0,0,2,0.0,0.0,390,2314,10,8,False,False,14,Friday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478820253716873216,deepinder-singh-dhingra-66bb54,https://www.linkedin.com/posts/deepinder-singh-dhingra-66bb54_everyone-respects-the-cfos-model-everyone-activity-7478820253716873216-tgfg,21,3,1,25,0.143,0.048,218,1319,0,0,False,False,14,Friday,90.0,1.3486,,,,,,,,,,,,False,[]
7478824883431604224,yonileitersdorf,https://www.linkedin.com/posts/yonileitersdorf_how-is-the-role-of-marketing-especially-activity-7478824883431604224-1f3L,4,1,0,5,0.25,0.0,59,393,0,0,False,False,15,Friday,62.17,0.2294,,,,,,,,,,,,False,[]
7478809895375392768,tan-nguyen-608974412,https://www.linkedin.com/posts/tan-nguyen-608974412_media-attachment-activity-7478809895375392768-kLKH,0,0,0,0,,,60,379,3,0,False,False,14,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478774780318552064,fantazier,https://www.linkedin.com/posts/fantazier_the-advertising-industry-once-again-descended-activity-7478774780318552064-a0v8,11,3,0,14,0.273,0.0,256,1523,0,0,False,False,11,Friday,82.33,0.9287,,,,,,,,,,,,False,[]
7478809816547606528,sky-benson-1779543b2,https://www.linkedin.com/posts/sky-benson-1779543b2_attention-is-the-easy-part-turning-it-into-activity-7478809816547606528-_m9h,0,0,0,0,,,56,330,0,0,False,False,14,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478813567102758912,toddbaileynj,https://www.linkedin.com/posts/toddbaileynj_ai-artificialintelligence-marketing-activity-7478813567102758912-IwvH,1,1,0,2,1.0,0.0,181,1322,14,6,False,False,14,Friday,44.83,-0.2996,,,,,,,,,,,,False,[]
7478834355558125568,henoc-mokli-ai,https://www.linkedin.com/posts/henoc-mokli-ai_ai-marketing-compliance-kit-waitlist-activity-7478834355558125568-EwMo,1,0,0,1,0.0,0.0,144,875,4,0,False,False,15,Friday,32.0,-0.6091,,,,,,,,,,,,False,[]
7478862633614340097,dr-alex-torres,https://www.linkedin.com/posts/dr-alex-torres_ai-in-marketing-then-vs-now-activity-7478862633614340097-eHal,0,0,0,0,,,74,547,3,2,False,False,17,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478800930927255553,sarahweigel07,https://www.linkedin.com/posts/sarahweigel07_marketing-ai-strategist-activity-7478800930927255553-hE7v,0,0,0,0,,,59,393,7,0,False,False,13,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7477420643009925122,ai-pma,https://www.linkedin.com/posts/ai-pma_data-is-one-of-the-most-valuable-assets-in-activity-7477420643009925122-Mncs,0,0,0,0,,,50,321,0,0,False,False,18,Monday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478806803883958273,eileenshy,https://www.linkedin.com/posts/eileenshy_laura-beaudin-disney-at-cannes-activity-7478806803883958273-vKBL,0,0,0,0,,,40,292,0,0,False,False,13,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478820017837432832,scott-seales-40812940,https://www.linkedin.com/posts/scott-seales-40812940_using-ai-reputation-marketing-videos-articles-activity-7478820017837432832-qSLC,0,0,0,0,,,20,130,0,0,False,False,14,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478855116037451776,sky-benson-1779543b2,https://www.linkedin.com/posts/sky-benson-1779543b2_solo-founders-and-lean-teams-are-expected-activity-7478855116037451776-zALe,0,0,0,0,,,56,329,0,0,False,False,17,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478857109393072128,teajai,https://www.linkedin.com/posts/teajai_in-2007-i-wrote-that-you-cant-effectively-activity-7478857109393072128-xIGI,0,1,0,1,,,163,947,0,0,False,False,17,Friday,32.0,-0.6091,,,,,,,,,,,,False,[]
7478841517994823680,gregoryajung,https://www.linkedin.com/posts/gregoryajung_marketingleadership-artificialintelligence-activity-7478841517994823680--0Mc,5,2,0,7,0.4,0.0,159,1083,10,1,False,False,16,Friday,69.33,0.449,,,,,,,,,,,,False,[]
7478786879451226113,,https://www.linkedin.com/posts/analytic-minds-hub_digitalmarketing-ai-facebookads-activity-7478786879451226113-OdU5,1,0,0,1,0.0,0.0,74,493,5,5,False,False,12,Friday,32.0,-0.6091,,,,,,,,,,,,False,[]
7478790910399406080,mikedmontague,https://www.linkedin.com/posts/mikedmontague_humanfirstaimarketing-productmarketing-aimarketing-activity-7478790910399406080-SxT7,0,0,0,0,,,195,1307,8,2,False,False,12,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478810061189087232,stephencoliver,https://www.linkedin.com/posts/stephencoliver_measuring-ai-marketing-the-metrics-that-activity-7478810061189087232-IbDa,0,0,0,0,,,39,232,0,0,False,False,14,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478430195616550912,,https://www.linkedin.com/posts/the-creative-benefit_b2bmarketing-marketingstrategy-contentmarketing-activity-7478430195616550912-qhm7,1,0,0,1,0.0,0.0,17,149,4,0,False,False,12,Thursday,32.0,-0.6091,,,,,,,,,,,,False,[]
7477775037471793152,,https://www.linkedin.com/posts/earned-swagger_artificialintelligence-marketing-creativeagency-activity-7477775037471793152-9oEd,17,0,3,20,0.0,0.176,46,390,10,0,False,False,17,Tuesday,87.33,1.1855,,,,,,,,,,,,False,[]
7477584314491142145,,https://www.linkedin.com/posts/techcmantix-technologies_ai-artificialintelligence-marketing-activity-7477584314491142145-tQyV,2,0,0,2,0.0,0.0,65,482,10,2,False,False,4,Tuesday,44.83,-0.2996,,,,,,,,,,,,False,[]
7477996395749347329,omsi-sharma-9a81681b2,https://www.linkedin.com/posts/omsi-sharma-9a81681b2_marketing-ai-brandstrategy-activity-7477996395749347329-TVa9,7,2,0,9,0.286,0.0,87,570,5,0,False,False,8,Wednesday,75.17,0.6193,,,,,,,,,,,,False,[]
7478833951839719424,fanyochiang,https://www.linkedin.com/posts/fanyochiang_aeo-ai-marketing-activity-7478833951839719424-4_wj,0,0,0,0,,,111,675,5,0,False,False,15,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478793247880974336,,https://www.linkedin.com/posts/linkedbuildmarketing_ai-visibility-used-to-be-about-performance-activity-7478793247880974336-whXR,0,0,0,0,,,138,850,9,1,False,False,12,Friday,12.33,-1.1381,,,,,,,,,,,,False,[]
7478059103387430913,stanley-mak-06a200,https://www.linkedin.com/posts/stanley-mak-06a200_artificialintelligence-ai-contentmarketing-activity-7478059103387430913-AXms,5,1,0,6,0.2,0.0,81,628,12,0,False,False,12,Wednesday,66.5,0.3471,,,,,,,,,,,,False,[]
7478103274588454912,areebatasneem-digital-marketer,https://www.linkedin.com/posts/areebatasneem-digital-marketer_digitalmarketing-ai-marketing-activity-7478103274588454912-myZ5,10,0,0,10,0.0,0.0,102,673,8,1,True,False,15,Wednesday,77.5,0.692,,,,,,,,,,,,False,[]
7477734793221382144,lina-shamia-0895b43a5,https://www.linkedin.com/posts/lina-shamia-0895b43a5_aivideo-artificialintelligence-advertising-activity-7477734793221382144-6VTa,3,0,0,3,0.0,0.0,27,294,7,0,False,False,14,Tuesday,53.5,-0.08,,,,,,,,,,,,False,[]
7477693178003922945,,https://www.linkedin.com/posts/grid-matrix-technologies_aiagents-marketingautomation-b2bmarketing-activity-7477693178003922945-44Er,4,0,1,5,0.0,0.25,71,541,8,1,False,False,12,Tuesday,62.17,0.2294,,,,,,,,,,,,False,[]
7478185502928625664,,https://www.linkedin.com/posts/aiscento_ai-agenticcommerce-ecommerce-activity-7478185502928625664-9BHo,6,6,2,14,1.0,0.333,174,1173,8,1,False,False,20,Wednesday,82.33,0.9287,,,,,,,,,,,,False,[]
7477336065977085952,sophia-moayedi-ab1341288,https://www.linkedin.com/posts/sophia-moayedi-ab1341288_ai-data-and-strategy-the-success-triangle-activity-7477336065977085952-dNE-,0,0,0,0,,,217,1423,0,0,False,False,12,Monday,12.33,-1.1381,,,,,,,,,,,,False,[]
7477376661496344577,jamesbrady1,https://www.linkedin.com/posts/jamesbrady1_marketingops-aiworkflow-contentops-activity-7477376661496344577-RlMx,2,0,0,2,0.0,0.0,59,434,5,0,False,False,15,Monday,44.83,-0.2996,,,,,,,,,,,,False,[]
7477650903018278912,kizito-tochukwu,https://www.linkedin.com/posts/kizito-tochukwu_why-ai-wont-replace-marketersbut-marketers-activity-7477650903018278912-0P_M,0,0,0,0,,,117,748,0,0,False,False,9,Tuesday,12.33,-1.1381,,,,,,,,,,,,False,[]
